,Timestamp,Indicate your current degree of studies,Which country is your school in?,Are your classes currently being conducted online?,What platform is your online school using?,"The nature and purpose of this research have been sufficiently explained. I understand that I am free to withdraw at any time without incurring any penalty. If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I Agree"" button to begin the survey. If not, thank you for your time.",1. How many of the following techniques do your teachers use in class?,3-9. Please indicate how much you agree or disagree with the following statements: [I enjoy having classes online.],3-9. Please indicate how much you agree or disagree with the following statements: [I feel motivated before class.],3-9. Please indicate how much you agree or disagree with the following statements: [I am satisfied with how my teachers conduct online classes.],3-9. Please indicate how much you agree or disagree with the following statements: [My classes are engaging.],3-9. Please indicate how much you agree or disagree with the following statements: [I am often distracted during class.],3-9. Please indicate how much you agree or disagree with the following statements: [I speak often during each class.],3-9. Please indicate how much you agree or disagree with the following statements: [I often ask the teacher Qs (either verbally or in chat)],"10. If you could change one thing about the way your online classes are designed, what would you change? Why?",11. Do you prefer online classes over in-person classes? Why or why not?,In-class assessments/quizzes,Asking students to explain concepts to the class,Debates,Small group activities where you solve a problem together,Role playing situations,Q&A with students' questions,Asking you to apply class material to a new context,assessments,explanation,debates,activities,rp,qna,application
6290,4/6/2020 9:25:56,High school,Ireland,Yes,Google Teams,I agree,"Videos, Asking students to explain concepts to the class, Q&A with students' questions",Agree,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Have them for often,"I prefer online classes as there is more freedom to also research more resources on whatever topic is being discussed in that subject from looking up past questions to extra material while the class is Being carried out (videos,powerpoints) - in comparison to just reading my school book in class in school",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6291,4/6/2020 9:25:59,High school,Ireland,Yes,Outlook microsoft,I agree,"Explanation using Diagrams, Asking you to apply class material to a new context",Disagree,Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Agree,I would have them still in a different style as many people aren’t self motivated at home and some often find it difficult to study or conduct class activities at home ,"In person, I feel as if I can connect and get proper feedback from the teacher, as often I ask questions during a class online there is little time to ask questions as they are trying to teach what they need to get done for the day due to time constraints ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6292,4/6/2020 9:26:06,High school,Poland,Yes,Google Teams,I agree,"In-class assessments/quizzes, Asking you to apply class material to a new context",Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,"The lenght of each lesson, they are as long as normally and my eyes hurt ","No, because I don't feel as motivated to prepare, it's hard for me to participate because I am not used to communication via screen",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6293,4/6/2020 9:26:10,High school,United States,Yes,canvas,I agree,"In-class assessments/quizzes, Asking you to apply class material to a new context",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,at the moment my online classes are optional which is making it really hard to be motivated ,No i prefer in person classes as they allow for a better understanding of the material and a better learning environment ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6294,4/6/2020 9:26:15,Undergraduate,Portugal,Yes,Zoom,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Less work to keep up with every content,"No, because i like to follow a schedule, be with my friends and its easier to keep foccused at school",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6295,4/6/2020 9:26:20,High school,Ireland,Yes,Google classroom,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams",Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,More organisation and have the same amount of work as we usually would ,No as in person classes the teacher is there demanding your attention while online it is very easy to just enter another tab,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6296,4/6/2020 9:26:26,Undergraduate,United States,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Require video on so I would be forced to pay attention. ,"No, the lack of face to face interaction and the issues that arise from internet issues make it incomparably worse to in person classes. ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6297,4/6/2020 9:26:28,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"so far have only received recorded lectures rather than any interaction, waiting until end of April for term to start again",Disagree,Strongly Disagree,Disagree,Neutral,Agree,Neutral,Neutral,a question section to ask questions as lectures are being given,Prefer in person because it is easier to interact (for an English degree) and share ideas ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6298,4/6/2020 9:26:53,Undergraduate,Trinidad and Tobago,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Q&A with students' questions",Neutral,Disagree,Disagree,Strongly Agree,Disagree,Neutral,Agree,I would like to see more interactive segments in class where we can bond in groups with our classmates or find an efficient way for everyone’s voice to be heard ,I prefer in person classes because I like to see the person and be able to ask proper questions in real time but I prefer online classes in the sense that it builds discipline in a new way ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6299,4/6/2020 9:27:04,High school,Pakistan,Yes,Zoom,I agree,"Videos, Debates",Neutral,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Disagree,"Would want record class
","No, in-person classes are more fun and helpful",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6301,4/6/2020 9:27:09,High school,Singapore,Yes,Zoom,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Assigning a reasonable amount of work during lessons. The amount of work assigned to be completed in one lesson is much more than that during in-person classes,Online classes as it is easier to remain focused,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6304,4/6/2020 9:27:58,High school,Colombia,Yes,Microsoft teams ,I agree,"Videos, Q&A with students' questions",Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,The assignments they leave . Class feels like homework not a normal class ,"I prefer in person because it’s more dynamic, it motivates me more to go to school and get things done .",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6307,4/6/2020 9:28:38,Undergraduate,United Kingdom,Yes,Some blackboard collaborate,I agree,"Videos, Q&A with students' questions",Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,More interactive so I don't get distracted,"No, less interaction and difficult to stay focused when not in same room as lecturer/other students",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6308,4/6/2020 9:28:55,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Debates, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Agree,To have smaller sessions to encourage attendance and engagement with the content more- due to large groups I feel quite anonymous in my online sessions so I’m not as motivated to participate as I would be in person,"I don’t prefer them as I enjoy the structure of going to university and being able to work together with my peers, I prefer being able t go somewhere that I associate with learning and getting my work done",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6309,4/6/2020 9:29:09,Undergraduate,India,Yes,Microsoft Teams,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,the small problem to me is that teacher's don't make us on our video mode and so most students do not focus on the class and attend the lecture just for attendance.. obviously I have done this so (•‿•),"I prefer in person classes as I personally struggle in concentrating and when it comes to in person classes I am more likely to concentrate on my lesson. Also when we are at our homes, there is family at home and it can be distracting at times.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6310,4/6/2020 9:29:23,Undergraduate,El Salvador,Yes,"Google meet, jitsi",I agree,"Videos, Debates, Small group activities where you solve a problem together, Q&A with students' questions",Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Agree,"I think that I would change the way in wich the professors are teaching in a sense that we feel a little boring the class, we don't feel there's enough participation from students, but not because we don't have the opportunity to talk, but because we don't achieve to connect completely with the contents ","I prefer person classes, because wen you are in person you feel that you are inside of a group with people that also wants to learn and the teacher looks more motivate (maybe now we are all distract because of covid) and seeing this people motivates myself to learn more ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6315,4/6/2020 9:29:59,Undergraduate,United Kingdom,Yes,Big blue button,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Explanation using Diagrams, Q&A with students' questions",Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Textbook access as the library is closed!,Definitely prefer in person classes but I like how flexible and accommodating lecturers have been given the current climate!,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6317,4/6/2020 9:30:27,High school,Kenya,Yes,Whatsapp,I agree,Small group activities where you solve a problem together,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Disagree,Neutral,I would like it to involve active participation in discussion as we progress to finish our syllabus ,I prefer in-person classes since it minimizes distractions but it also has to involve technology for visual practices since it enhances memory ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6318,4/6/2020 9:30:27,Undergraduate,United Kingdom,Partially - uni has now stop because exams are cancelled.,Recorded Lectures,I agree,Videos,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Disagree,For them not to be pre-recorded ,In person - it makes me concentrate more and I feel more comfortable asking question in person.,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6319,4/6/2020 9:30:29,High school,United Kingdom,"Not through video calls, mainly emails and a thing called fronter and microsoft teams ","Emails and fronter, Microsoft teams",I agree,Videos,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Have my teachers conduct zoom lessons as other students in my school have had this,No as I find it easier to communicate and learn in that environment as I am not in my house ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6320,4/6/2020 9:30:33,High school,United Kingdom,"Not through video calls, mainly emails and a thing called fronter and microsoft teams ","Emails and fronter, Microsoft teams",I agree,Videos,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Have my teachers conduct zoom lessons as other students in my school have had this,No as I find it easier to communicate and learn in that environment as I am not in my house ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6321,4/6/2020 9:30:38,High school,Greece,Yes,Skype ,I agree,"Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Nothing really.,I prefer online classes because they save you time ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6322,4/6/2020 9:31:25,Undergraduate,United Kingdom,Yes,Their own software on Blackboard (MOLE),I agree,"Videos, Debates, Small group activities where you solve a problem together, Q&A with students' questions",Agree,Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,"Make it consistent - I do not mind the online platform but due to lecturers not being used to it, they have approached it from totally different angles and the lack of consistency and the change in requirements can make it more stressful  ",I prefer online classes for my anxiety as it means I am able to contribute more and get more from it as I can hind behind a screen - usually I am too anxious to do so - but I prefer in person because it gives you a sense of solidarity and you feel as though you’ve achieved more. At the minute it can feel like you’re alone and that this isn’t a “real” degree approach anymore. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6323,4/6/2020 9:31:27,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,more engaging ,"no, they are very un engaging ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6325,4/6/2020 9:31:05,Undergraduate,Netherlands,Yes,Microsoft Teams,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,I dont hmm difficult because the whole online situation is new teachers are still figuring things out so can not accurately say something about. But based of the online classes Ive had untill now I think more interactive elements could be nice. Now it just very focused on explaining things and thats it.,In person. Mainly because the teachers right now are not comfortable yet with it and I just like the atmosphere of being at uni more than doing everything at home (may ofcourse be due to the fact that we have to stay home with corona). But just thinks like chatting with your friends isnt possible anymore so small things like that.,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6326,4/6/2020 9:31:07,High school,Mexico,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Maybe the way the teacher interact with us,"Yes, because with online classes I can stay home and be more comfortable",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6327,4/6/2020 9:31:10,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Role playing situations, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Disagree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Interactive video calls instead of recorded lectures to replicate real lessons more accurately. ,"No, I find it easier to learn in a formal classroom environment where I can engage with my peers face-to-face and feel more motivated to learn.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6328,4/6/2020 9:31:33,College,Netherlands,Yes,Google Teams and recorded lectures,I agree,"Explanation using Diagrams, Q&A with students' questions",Agree,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,"I only have 1 class online and that teacher is amasing which makes me love that class, but for other subject I either only have recorded class or no class at all. So I would like to have more classes and more teachers like the one I have for the online class. ","I like that having to travel to school motivated me more to be prepared for class and that when I was in school I knew that I was busy with school and not something else, but I also see how convenient it is to not have to travel 3 hours a day to go to school and back. So I'm not sure which I prefer. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6329,4/6/2020 9:31:49,High school,Saudi Arabia,Yes,Google Teams,I agree,"In-class assessments/quizzes, Explanation using Diagrams",Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Give less online assignment and make the online class more engaging ,No because they are not interactive ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6330,4/6/2020 9:32:07,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,More interactive opportunities,Prefer in person as I'm able to interact with other students and ask questions more easily,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6331,4/6/2020 9:32:10,Undergraduate,United Kingdom,Yes,Zoom,I agree,Q&A with students' questions,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,I would make them more interactive,I do because in lectures we don't get to ask questions and here we can. For practicals I wouldn't replace them for online ones and the same goes for classes. ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6332,4/6/2020 9:32:30,Undergraduate,Morocco,Yes,Canvas ,I agree,In-class assessments/quizzes,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,The interaction because not all teachers make us participate and speak during these classes ,Both actually ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6333,4/6/2020 9:32:38,Undergraduate,Ireland,Yes,"Mixture of zoom, recorded lectures and the university’s personal platform ",I agree,"Videos, Small group activities where you solve a problem together",Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,More engaging.... make students want to go online and learn ,No.... I feel more motivated to go to real life class ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6334,4/6/2020 9:32:55,Undergraduate,Morocco,Yes,Google Teams,I agree,"Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Strongly Agree,Neutral,Agree,Strongly Disagree,Disagree,"I’m extremely shy and I get anxious trying to ask a question verbally ( especially in an online class with a big number of students), so I would love it if we could ask questions in text form, it’s so much easier and way less pressure that way. One more thing is to reduce the amount of homework we get. Just because we’re quarantined at home doesn’t mean we can stay the whole day working, it’s stressful unhealthy and unproductive!! It doesn’t allow us to rest nor revise our notes that we took that day because we’re so focused on getting the homework done before the deadline.","Absolutely not!! In-person classes are way more engaging than online classes. You can also understand better and ask questions at the exact moment you need to ask them, either to your teacher or to a classmate.
",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6335,4/6/2020 9:33:06,Undergraduate,Italy,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,"I'd insert more occasions of interaction, like a forum/discussion chat...","No, because it drains both teachers and students. Students tend to do a lot of work and then not being able to show it, especially because of issues related to technology ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6336,4/6/2020 9:33:07,High school,United Kingdom,Yes,Share point ,I agree,Videos,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,"Having interaction with other students, however that may be",NO - human interaction is key to learning!!!,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6338,4/6/2020 9:33:28,Undergraduate,Qatar,Yes,Zoom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Q&A with students' questions",Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,That they would be prerecorded lectures instead of online real time class,Yes because it saves energy instead of physically going to classes hence I’m more motivated to work on my assignments and gives me free time for my hobbies ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6339,4/6/2020 9:33:53,Undergraduate,Norway,Yes,Zoom,I agree,"Videos, Q&A with students' questions",Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,"More quizzes, things that students can do during class to stay engaged and motivated. Not speaking out loud as my classes have 100+ students, but maybe online surveys and such to keep motivated and able to use the things we learn then and there. We did this often on campus during lectures and I miss it. ","No. I think in-person classes are more motivating, you have the right mindset when you are physically on campus, you have the professor available for Q’s (they mute us in online class, and don’t unmute) both during the lecture and in the breaks. I prefer going down to ask the professor as I am shy and like to discuss with them. You can’t really do that during the lecture. I also prefer the company of my friends and fellow students when I am in class, and it is much easier to stay behind and chat about the lectures and so on. But I want to say that it is easier to plan the day with online classes as they are often shorter these days and some are also pre-recorded. But overall I prefer in-person classes. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6340,4/6/2020 9:33:54,Undergraduate,Malaysia,Yes,Microsoft teams ,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,People getting more involved and talking more in workshops. It not being a crazy last minute thing. Lecturers being more elpful in encouraging online discussion ,In person coz they are less easy to miss. Online are awkward. Would be OK if it was a longer term thing however that's not how my uni is set up to run ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6341,4/6/2020 9:34:06,Undergraduate,Chile,Yes,Zoom,I agree,"Videos, Asking students to explain concepts to the class, Debates, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Neutral,Disagree,Strongly Agree,Disagree,Agree,"I would give the teachers more learning tools so they could use their platforms to the fullest instead of just talking, because some don’t understand much about how to do things like share screen or record the lessons and we end up wasting class time trying to get them to figure it out when that should be the school’s responsibility.  ","I find in-person classes much more engaging and interesting, they make me much more motivated to learn and I see myself paying more attention to the teachers. The format of online classes makes it so I’m very easily distracted and, given that I’m in my home, I sometimes give into that distraction by doing something else. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6342,4/6/2020 9:34:10,Undergraduate,United Kingdom,Yes,Zoom,I agree,"Asking students to explain concepts to the class, Q&A with students' questions",Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,A clear structure given like a normal lecture ,"No, it is not as effective for my subject (music). ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6343,4/6/2020 9:34:28,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,Explanation using Diagrams,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,More organisation ,I prefer working on my computer more ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6344,4/6/2020 9:34:39,High school,United Kingdom,Yes,Google hangouts so we message them if we have any problems ,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together",Disagree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,That they don’t give us more work then we would normally get ,No as in class it’s easier to ask a question to the teachers or your peers and it is harder to keep up online ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6345,4/6/2020 9:34:53,Undergraduate,Canada,Yes,"Zoom, recorded lectures, or just posted slides ",I agree,"In-class assessments/quizzes, Q&A with students' questions",Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,That they were all live classes ,No. I like to physically go to class and labs and have a routine ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6346,4/6/2020 9:34:54,High school,United Kingdom,Only tasks are set online but we don’t get taught anything,Google Teams,I agree,Videos,Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,The teachers should put more effort in the lessons my teachers only set tasks and tell us to get on with it and that’s all like they don’t teach us online.,No I prefer person classes because I’m less lazy and I’m more motivated and it’s much easier for me to ask for help by calling the teacher for help and then explaining it one to one I also feel motivated to do work but when I am at home all I want to do is sleep 😴 and teachers don’t put in any effort,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6350,4/6/2020 9:35:08,High school,United States,Yes,"Canvas, Google Classrooms ",I agree,Videos,Disagree,Strongly Disagree,Agree,Disagree,Strongly Agree,Disagree,Disagree,"I don’t believe there are anything that can be changed, and I believe what makes this online learning better is by making ourselves more productive.","I prefer in-person classes, because it’s much harder to procrastinate. Also, I honestly miss school and seeing my friends...",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6353,4/6/2020 9:35:44,High school,Thailand,Yes,Microsoft teams,I agree,"Asking students to explain concepts to the class, Q&A with students' questions",Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Strongly Disagree,If we could have a talk session before to talk about the possible problems we are having and if we are having any issues ,In-person classes as it is important to have social interactions and easier to ask questions. The concept and teaching is much more clear dace to face especially if the connexion is bad and therefore the broad is blurry,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6355,4/6/2020 9:35:56,High school,United Kingdom,Yes,Sam learning and the school website.,I agree,"In-class assessments/quizzes, Videos, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Neutral,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Videos and online lessons not just worksheet documents.,"No, because it's alot harder to learn new things as you have to self teach yourself the majority of the work however it is enjoyable to be in control of what I am learning.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6356,4/6/2020 9:35:58,Undergraduate,Ireland,Yes,Recorded Lectures,I agree,"Videos, Explanation using Diagrams, Q&A with students' questions",Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,"As our lectures are pre-recorded, there is no live engagement and it is hard for the students to get in touch with the lecture to ask a question","I prefer in person classes, as I am more motivated to focus and take notes, there is no distractions and it gives a you a schedule ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6358,4/6/2020 9:36:27,Undergraduate,Poland,"some of them are, but for the most part we're just being sent assigned work to do by a certain deadline.",both recoded lectures and microsoft teams,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class",Neutral,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,I would like more online classes where we're actually being taught something rather that leaving all the work to be done on our own.,"no, because I don't feel like I'm learning anything with the methods implemented at my University.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6359,4/6/2020 9:36:53,Undergraduate,Netherlands,Yes,Microsoft Teams,I agree,"Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,I’d try to make each student take part in the lesson and engage them because it leads to a way more productive session ,"No, I just enjoy talking to someone in person a lot more. For one, because of the human connection. And second, because the feedback seems to be a lot more instant and helpful. Online classes are not in depth enough in my opinion. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
6360,4/6/2020 9:36:55,Undergraduate,United Kingdom,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Videos, Explanation using Diagrams",Disagree,Disagree,Strongly Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,I would like them to be more interactive because that would help me engage more with the content,I prefer in-person classes as I often feel more motivated to attend and also feel more accomplished afterwards. The classes are also more engaging ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6361,4/6/2020 9:37:17,High school,Canada,Yes,Recorded Lectures,I agree,"Videos, Q&A with students' questions",Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,I think if we could have more class discussions with everyone getting involved would be really helpful in getting people to engage in the content    ,I like online classes more for the sole reason that I am more of a self-directed learner and this gives me a chance to engage in such learning ,0,1,1,1,1,1,1,0,1,1,1,1,1,1
6363,4/6/2020 9:38:00,High school,United Kingdom,Yes,Online set and submit tasks,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams, Q&A with students' questions, Asking you to apply class material to a new context",Strongly Disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Have them on video to ask teachers questions we don’t understand,"No, the teaching isn’t as personalised",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6364,4/6/2020 9:38:14,High school,Iceland,Yes,Google Teams,I agree,"In-class assessments/quizzes, Small group activities where you solve a problem together",Neutral,Agree,Neutral,Disagree,Agree,Disagree,Disagree,better material and more video lectures ,"no I would not so, it is easier to focus when you are in a class and have an teacher teaching you and telling you what to do. There is more work in online classes. I do like online classes though because it gives me the chance to focus on things that I need more time to understand, like math.",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6365,4/6/2020 9:38:14,Undergraduate,Panama,Yes,Zoom,I agree,In-class assessments/quizzes,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Agree,The types of teaching probably more videos with explanation rather than videoconferences,In some cases yes onlind tools can be a saver of time but no always for example some classes could require lab time and is better in person ,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6366,4/6/2020 9:38:24,Undergraduate,United Kingdom,Yes,Recorded Lectures and Teams,I agree,"In-class assessments/quizzes, Asking students to explain concepts to the class, Small group activities where you solve a problem together, Explanation using Diagrams",Disagree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Disagree,more engagement with the class instead of just 1 hour videos each day for a module ,no,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6367,4/6/2020 9:38:29,High school,United Kingdom,Yes,Google classroom,I agree,"In-class assessments/quizzes, Videos, Asking students to explain concepts to the class, Debates, Small group activities where you solve a problem together, Asking you to apply class material to a new context",Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,It’s kind of hard to give handouts to people if they haven’t previously downloaded them before the lesson starts,I prefer in class because school is a separate place to my room for me to get into a work mindset (all I want to do in my room is sleep),1,1,1,1,1,1,1,1,1,1,1,1,1,1
6369,4/6/2020 9:39:04,Undergraduate,Canada,Yes,Recorded Lectures,I agree,"In-class assessments/quizzes, Q&A with students' questions",Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Less self teaching more their input ,"No, I enjoy hearing the prof in person taking hand written notes and engaging in class conversations ",1,1,1,1,1,1,1,1,1,1,1,1,1,1
6370,4/6/2020 9:39:14,Undergraduate,Netherlands,Yes,Something specific to our uni ,I agree,"Videos, Q&A with students' questions",Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,"I feel like Professors don't get trained to use the tools, which makes sense because it's an extreme situation. I just wish they would know how to use the tools effectively to keep lectures interesting and engaging.","No, I prefer having the experience of going into a lecture with my friends and having the professor explaining stuff to us in person. Also, our online classes are less engaging than normal lectures because of a lack of interaction. ",0,1,1,1,1,1,1,0,1,1,1,1,1,1
